id,created_at,updated_at,cluster,text,location,category,w_p,execution_count,source,is_active
110,2026-05-11 19:55:00.773646+00:00,2026-05-11 19:55:00.773649+00:00,Troubleshooting and Support Escalation,How transparent is the claims process at Star Health and Allied Insurance when compared to GoDigit?,Global,General,1.0,0,suggested,True
109,2026-05-11 19:55:00.773431+00:00,2026-05-11 19:55:00.773435+00:00,Troubleshooting and Support Escalation,What are the customer reviews saying about the claims support process at Bajaj Allianz versus GoDigit?,Global,General,1.0,0,suggested,True
108,2026-05-11 19:55:00.773197+00:00,2026-05-11 19:55:00.773201+00:00,Troubleshooting and Support Escalation,How does GoDigit handle customer complaints and support escalation compared to HDFC ERGO and Max Bupa?,Global,General,1.0,0,suggested,True
107,2026-05-11 19:55:00.772979+00:00,2026-05-11 19:55:00.772982+00:00,Troubleshooting and Support Escalation,What unique support features does GoDigit offer for troubleshooting health insurance issues compared to competitors?,Global,General,1.0,0,suggested,True
106,2026-05-11 19:55:00.772764+00:00,2026-05-11 19:55:00.772767+00:00,Troubleshooting and Support Escalation,GoDigit's claims process seems complicated; how does it compare to other health insurance providers like Policybazaar?,Global,General,1.0,0,suggested,True
105,2026-05-11 19:55:00.772532+00:00,2026-05-11 19:55:00.772535+00:00,Troubleshooting and Support Escalation,What are the best practices for ensuring a smooth claims process with health insurance providers?,Global,General,1.0,0,suggested,True
104,2026-05-11 19:55:00.772235+00:00,2026-05-11 19:55:00.772239+00:00,Troubleshooting and Support Escalation,Are there specific customer support channels for health insurance consumers that provide faster resolutions?,Global,General,1.0,0,suggested,True
103,2026-05-11 19:55:00.772004+00:00,2026-05-11 19:55:00.772008+00:00,Troubleshooting and Support Escalation,What should I do if my health insurance claim is denied and I need to appeal the decision?,Global,General,1.0,0,suggested,True
102,2026-05-11 19:55:00.771685+00:00,2026-05-11 19:55:00.771689+00:00,Troubleshooting and Support Escalation,How can I escalate my support request if I'm facing issues with my health insurance policy?,Global,General,1.0,0,suggested,True
101,2026-05-11 19:55:00.771063+00:00,2026-05-11 19:55:00.771071+00:00,Troubleshooting and Support Escalation,What are the common troubleshooting steps for health insurance claims that consumers should be aware of?,Global,General,1.0,0,suggested,True
100,2026-05-11 19:54:57.032826+00:00,2026-05-11 19:54:57.032832+00:00,Renewals and Account Expansion,How transparent is the claims process when renewing health insurance with Bajaj Allianz compared to GoDigit?,Global,Renewals and Account Expansion,1.0,0,suggested,True
99,2026-05-11 19:54:57.032359+00:00,2026-05-11 19:54:57.032367+00:00,Renewals and Account Expansion,What are the customer reviews saying about the renewal process with HDFC ERGO and GoDigit?,Global,Renewals and Account Expansion,1.0,0,suggested,True
98,2026-05-11 19:54:57.031857+00:00,2026-05-11 19:54:57.031864+00:00,Renewals and Account Expansion,How does the renewal process for health insurance with GoDigit compare to Policybazaar or Coverfox?,Global,Renewals and Account Expansion,1.0,0,suggested,True
97,2026-05-11 19:54:57.031381+00:00,2026-05-11 19:54:57.031386+00:00,Renewals and Account Expansion,What unique features does GoDigit offer for health insurance renewals that set it apart from competitors?,Global,Renewals and Account Expansion,1.0,0,suggested,True
96,2026-05-11 19:54:57.030998+00:00,2026-05-11 19:54:57.031004+00:00,Renewals and Account Expansion,How does GoDigit handle health insurance renewals compared to other providers in India?,Global,Renewals and Account Expansion,1.0,0,suggested,True
95,2026-05-11 19:54:57.030590+00:00,2026-05-11 19:54:57.030612+00:00,Renewals and Account Expansion,What are the common pitfalls to avoid when renewing health insurance policies?,Global,Renewals and Account Expansion,1.0,0,suggested,True
94,2026-05-11 19:54:57.030185+00:00,2026-05-11 19:54:57.030191+00:00,Renewals and Account Expansion,Are there any specific regulations I need to be aware of when renewing health insurance in India?,Global,Renewals and Account Expansion,1.0,0,suggested,True
93,2026-05-11 19:54:57.029738+00:00,2026-05-11 19:54:57.029746+00:00,Renewals and Account Expansion,What should I consider when expanding my health insurance coverage during renewal?,Global,Renewals and Account Expansion,1.0,0,suggested,True
92,2026-05-11 19:54:57.028974+00:00,2026-05-11 19:54:57.028988+00:00,Renewals and Account Expansion,How can I effectively compare health insurance renewal options across different providers?,Global,Renewals and Account Expansion,1.0,0,suggested,True
91,2026-05-11 19:54:57.027322+00:00,2026-05-11 19:54:57.027350+00:00,Renewals and Account Expansion,What are the best practices for renewing health insurance policies for consumers in India?,Global,Renewals and Account Expansion,1.0,0,suggested,True
90,2026-05-11 19:54:52.408704+00:00,2026-05-11 19:54:52.408706+00:00,Feature Adoption and Advanced Usage,What are the key differences in policy coverage and pricing transparency between GoDigit and Bajaj Allianz?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
89,2026-05-11 19:54:52.408574+00:00,2026-05-11 19:54:52.408576+00:00,Feature Adoption and Advanced Usage,How does the customer trust and reviews for GoDigit compare with other health insurance companies like HDFC ERGO?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
88,2026-05-11 19:54:52.408442+00:00,2026-05-11 19:54:52.408444+00:00,Feature Adoption and Advanced Usage,Can you explain how GoDigit ensures regulatory compliance and certifications for its health insurance products?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
87,2026-05-11 19:54:52.408313+00:00,2026-05-11 19:54:52.408315+00:00,Feature Adoption and Advanced Usage,What unique features does GoDigit offer for health insurance that set it apart from competitors like Policybazaar?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
86,2026-05-11 19:54:52.408178+00:00,2026-05-11 19:54:52.408180+00:00,Feature Adoption and Advanced Usage,How does GoDigit's claims process compare to other health insurance providers in India?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
85,2026-05-11 19:54:52.408044+00:00,2026-05-11 19:54:52.408046+00:00,Feature Adoption and Advanced Usage,What should I know about the claims process transparency when choosing a health insurance provider?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
84,2026-05-11 19:54:52.407873+00:00,2026-05-11 19:54:52.407875+00:00,Feature Adoption and Advanced Usage,Are there specific tools or apps that help health insurance consumers track their claims and benefits?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
83,2026-05-11 19:54:52.407732+00:00,2026-05-11 19:54:52.407734+00:00,Feature Adoption and Advanced Usage,What advanced features should I look for in a health insurance plan to ensure comprehensive coverage?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
82,2026-05-11 19:54:52.407571+00:00,2026-05-11 19:54:52.407578+00:00,Feature Adoption and Advanced Usage,How can I effectively use my health insurance policy to cover preventive care and wellness services?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
81,2026-05-11 19:54:52.406764+00:00,2026-05-11 19:54:52.406773+00:00,Feature Adoption and Advanced Usage,What are the best practices for health insurance consumers in India to maximize their policy features?,Global,Feature Adoption and Advanced Usage,1.0,0,suggested,True
80,2026-05-11 19:54:48.735316+00:00,2026-05-11 19:54:48.735320+00:00,Onboarding and Setup,How does HDFC ERGO handle the onboarding process for health insurance policies?,Global,Onboarding and Setup,1.0,0,suggested,True
